,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De nuptiis Philologiae et Mercurii,0.17936146523518826,0.12177615716066503,0.22410298999719425,0.19105493372918725,0.33186188154159957,0.1691039856671651,0.1336404827318015,0.14931075495998747,0.18042334068378385,0.16535734016873826,2.220446049250313e-16,0.6319508881177156,0.19765247673599629,0.336954906046548,0.15535994026385136,0.16951620928503974,0.459625786390075,0.5729669472223937,0.577047496939333,0.6574783305400591,0.394142994503189,0.5691291391712816,0.1642876376084762,0.174029061131442,0.32806579130722,0.17303312112532843,0.16900649578396754,0.19234102628044147,0.2676584308964489,0.28218220568765384,0.1638613295044109,0.17787697339774233,0.25207810513899587,0.24405494274320194,0.24178081735776358,0.24971956409482143,0.24085626665752702,1.0,0.3138432244911805,0.19271531127676766,0.26851276273428315
Commentarius in Vergilii Aeneidos libros,0.6692617606317515,0.6497185868886692,0.7229065400824943,0.7355721435925199,0.8017904905337209,0.6766699721813242,0.6684672939549139,0.6841008887503899,0.6392572711098652,0.6901980531738652,0.6319508881177156,0.0,0.6581551549789976,0.7369416475471718,0.6196772457546387,0.6318660342419085,0.7627462225793765,0.8221005011299104,0.8219842892537247,0.8546386200174494,0.7459920448782213,0.8115576459184719,0.7053257253244478,0.712107530025869,0.7762003996249975,0.7080970652428327,0.674459226845203,0.7196755891415336,0.7597400218087503,0.7809834995081725,0.6963051976677043,0.7173891767081617,0.7433765004849382,0.7378933779715291,0.7366530187967011,0.7420470411827373,0.7356315046056425,1.0,0.7946396236570208,0.7093133955540369,0.773583026750238
Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,0.16988140419101938,0.16499246800016343,0.2649112086835572,0.30413440986935025,0.46632255204744055,0.15397622030421743,0.12909591581995516,0.27829012628955785,0.23891389754813697,0.2275405484554699,0.19765247673599629,0.6581551549789977,1.1102230246251565e-16,0.36809240082578765,0.2040555895535774,0.19371213301017354,0.5041554511757005,0.6408186560614275,0.6332020970921644,0.7044136117250263,0.5065702866217775,0.6271860738796549,0.266854663095906,0.3020925420107544,0.4108940000043849,0.28408027001043035,0.2099606646275033,0.30828797204215463,0.5080433167974184,0.44389744602946435,0.3046543638611513,0.34918443848205016,0.3183866004630156,0.3292546374292582,0.3227702094282102,0.3289292960248821,0.31822871168818334,1.0,0.43700947447213356,0.2302156654362819,0.3628027114660771
De philosophia,0.36655468240111544,0.25151261441241635,0.46517315700561535,0.47018025733993596,0.6019220232402209,0.35573582721837005,0.33741653297045515,0.4190561629359021,0.373404305102228,0.3884006808011602,0.3369549060465479,0.736941647547172,0.36809240082578765,0.0,0.39119444174978224,0.3882155876430219,0.5904746183791962,0.7068078028078532,0.70126479708678,0.7604416118727051,0.5696901399769069,0.6897442546014554,0.432313048879153,0.46675537793699684,0.5283753909502489,0.4471107458621778,0.4001075183326427,0.4772178895750684,0.6081724074977399,0.583454679041992,0.44997767012373024,0.4793834357363246,0.5062411393422988,0.5084296700442144,0.5000923877285397,0.5087600619627379,0.4992162681817294,1.0,0.5985245174446386,0.44533118883320655,0.5505386683428406
In Vergilii Aeneide comentarii,0.2338152341767965,0.1897964479540919,0.3291754180883294,0.3463309657548822,0.49726798387734283,0.23416926928023096,0.21434706314311325,0.2916161338224963,0.1850308772729271,0.2060242343876939,0.15535994026385125,0.6196772457546385,0.2040555895535776,0.39119444174978235,0.0,0.017186941936386257,0.47051882015307134,0.5970656278928153,0.5979142309430039,0.6720605493928855,0.428768203902389,0.5747996122506989,0.3104218681963882,0.32004576542376195,0.47087584198733823,0.31850823850484533,0.2612251531306179,0.3251633355542257,0.43012172472182875,0.454448565866747,0.2866361884262866,0.34022037262684957,0.38211412003017653,0.37346926121126767,0.3716945348728047,0.3825799717154711,0.37001404486265177,1.0,0.46815621776699945,0.31183789101802006,0.4256972778182957
In Vergilii Georgicis comentarii,0.23798996928953353,0.185320796087436,0.3272970016569059,0.34758255019763507,0.4939848036485941,0.2216633253854019,0.19736420794955833,0.3095396183143907,0.18742518619849335,0.2067314537216356,0.16951620928503996,0.6318660342419085,0.19371213301017354,0.3882155876430219,0.017186941936386257,0.0,0.48978864814426315,0.6199471511842196,0.6122052873159995,0.6856077724651544,0.4537885625959538,0.5982616991431515,0.31692197412435186,0.334551379012091,0.460959823710407,0.3274362580915623,0.26741868204736874,0.3271810393643122,0.4716871532062492,0.4563956630345001,0.30922054314364367,0.35953944970520835,0.3897576333180801,0.3863689979037275,0.38516337107126186,0.39561773549597556,0.38337836637456757,1.0,0.4633316783627661,0.3072675230109485,0.40882377256037417
Adelphi,0.4985587455141215,0.4458424371045726,0.5305493684850746,0.6246453157805387,0.6876060658954988,0.5057756269435926,0.5430214973618419,0.6053832212927688,0.4608993657758622,0.5374236235465801,0.4596257863900751,0.7627462225793765,0.5041554511757005,0.5904746183791962,0.47051882015307134,0.48978864814426315,0.0,0.5343259255223032,0.548402211528823,0.3291318305171749,0.3638555166553501,0.4738419614164573,0.5115896391253607,0.525551060789383,0.675407522196357,0.5386227206271141,0.47796958116735755,0.5852034060734561,0.6793226558156773,0.6862118079498831,0.4896675184118534,0.5329379480069556,0.6035771971771973,0.5908929482297784,0.5727051322991792,0.5915536366737878,0.579306717882285,1.0,0.7360518367885575,0.5563577083815225,0.7073516206846483
Andria,0.5979663310548485,0.6018719404582233,0.6140837627703881,0.7013940331028857,0.7583458397031677,0.6178243671291457,0.6563484065325977,0.6790386520457409,0.6258047756685724,0.6524865678695801,0.5729669472223935,0.8221005011299104,0.6408186560614275,0.7068078028078532,0.5970656278928153,0.6199471511842196,0.5343259255223032,1.1102230246251565e-16,0.15193745444789475,0.3644635431522454,0.3622785767323121,0.4183704888321278,0.602594077740652,0.6130740919449891,0.75269112161426,0.624778419854193,0.5747788657988742,0.6836235451113009,0.7333148821213231,0.7592215801167268,0.5771623178738772,0.6185752369987294,0.6747402542916365,0.6598431662439375,0.6428648241036754,0.6609631305549997,0.6530596046243866,1.0,0.7963126701743147,0.6259080819802558,0.7743222239585652
Eunuchus,0.6141045480358652,0.5982017701344987,0.6249405326733588,0.6992552632379512,0.7477960984153721,0.6269033658873975,0.6470259670252021,0.6763241476282462,0.6017410757168441,0.6452177119107496,0.5770474969393331,0.8219842892537246,0.6332020970921644,0.70126479708678,0.5979142309430039,0.6122052873159995,0.548402211528823,0.15193745444789475,2.220446049250313e-16,0.34183108677604446,0.23313179931952654,0.22079013442697426,0.6098393087268791,0.6246879784866809,0.7515516859948261,0.6311491437103076,0.5870190111718581,0.6700365696315265,0.7358554550952698,0.745129832263978,0.5995399669096578,0.633027551241146,0.6887589705202506,0.6793600533392974,0.6675722749261699,0.6800791851751629,0.6719281911473801,1.0,0.782549309283732,0.6433474087028292,0.7557125110367918
Heautontimorumenos,0.6855147643428131,0.6775901975836169,0.6927816503634974,0.7592908010236785,0.800637568822751,0.6995753302011346,0.7171952953943497,0.7320976084863706,0.687500096858314,0.711684906316504,0.6574783305400591,0.8546386200174494,0.7044136117250263,0.7604416118727051,0.6720605493928855,0.6856077724651544,0.3291318305171749,0.3644635431522454,0.34183108677604446,0.0,0.5717493033924399,0.42423466633785123,0.6873669920741732,0.6946228615594974,0.8109348564567234,0.7038600244923019,0.6622265792614028,0.7395864848264082,0.7783005352631336,0.8004420915945211,0.6704919049378588,0.6988650209621914,0.7426383478696378,0.7325218571128596,0.7235680835694391,0.7349778547520172,0.7265322939147227,1.0,0.8298590899814322,0.7128662197795315,0.8093942782427965
Hecyra,0.47662882417937336,0.45231214823226207,0.4909536999622036,0.5696008250495319,0.6471486234355358,0.4961526819422293,0.5162937286646154,0.524443445648748,0.4657016388817825,0.49248618851028514,0.3941429945031889,0.7459920448782213,0.5065702866217775,0.5696901399769069,0.428768203902389,0.45378856259595357,0.3638555166553501,0.3622785767323121,0.23313179931952654,0.5717493033924399,0.0,0.2536161721779382,0.4749022856308568,0.47463750164968377,0.6483340154698092,0.48815535595033543,0.4373034255261773,0.5420353135267453,0.5781976162110402,0.6302408577064844,0.42826412352575294,0.4717716717314242,0.5477488969306069,0.5274111969883978,0.516797461942369,0.533847561651718,0.5218117660476517,1.0,0.6846551798603002,0.5158183580889066,0.656638734528358
Phormio,0.6162624397010679,0.580376983633794,0.639444633508811,0.7139118376705695,0.7645896909879476,0.630387215521367,0.6638159175488537,0.6759493529022217,0.5835873950564129,0.6411115931413371,0.5691291391712816,0.8115576459184719,0.6271860738796549,0.6897442546014556,0.5747996122506989,0.5982616991431514,0.4738419614164575,0.4183704888321279,0.22079013442697437,0.42423466633785123,0.2536161721779382,0.0,0.6198519146112536,0.6252562534065103,0.7593832908373884,0.6398230810819898,0.5939690910563573,0.6762745543821642,0.7209275722888312,0.7557332635863785,0.5898037672877272,0.6267570650439458,0.6972323919073151,0.6823871595171538,0.669860343356367,0.6845435080060166,0.6746237555818376,1.0,0.8057175984472373,0.6634105041089957,0.7874220310201634
Amores,0.2630444559676154,0.24534200955787777,0.10812504945696044,0.09480652580949,0.1666736047532783,0.17562324509878502,0.2021592476532541,0.33568005707958204,0.311496458980264,0.24422963450731383,0.1642876376084761,0.7053257253244479,0.2668546630959061,0.4323130488791529,0.3104218681963882,0.31692197412435186,0.5115896391253606,0.6025940777406522,0.6098393087268792,0.6873669920741732,0.4749022856308567,0.6198519146112533,0.0,0.02746949408335131,0.18993405639429872,0.027902233016405265,0.07105372610806371,0.06797718682982445,0.24078927498511515,0.13932926911274424,0.05658745757722994,0.05738313912640003,0.11082921714976157,0.11222444122297348,0.10242353434471119,0.1127049290252351,0.10454520010726442,1.0,0.17910896932590015,0.09900206171934856,0.15454662261029428
Epistulae (vel Heroides),0.305210446939303,0.2910781134990921,0.10452601416993401,0.07542818708760202,0.12028031543223128,0.22265780503536525,0.243703761577705,0.353148864279182,0.3306446673771991,0.2706927838542489,0.174029061131442,0.712107530025869,0.3020925420107544,0.46675537793699695,0.32004576542376184,0.334551379012091,0.5255510607893829,0.6130740919449891,0.6246879784866809,0.6946228615594974,0.47463750164968377,0.6252562534065103,0.027469494083351198,0.0,0.2072779191768861,0.03350347104974549,0.10135049757488312,0.05166992537232307,0.17486000216701514,0.09125947026683745,0.03457848734414526,0.02791810582070442,0.08697070068437762,0.08167289172953884,0.07537725599804124,0.08372365246127278,0.07925558323976656,1.0,0.14076306323243815,0.12528107901892294,0.13304562936613062
Medicamina faciei femineae,0.43651894927831303,0.3838745159915514,0.2849443219944545,0.2056425857382752,0.2666429874926677,0.31065884444529146,0.320035889433685,0.45454333172794614,0.446998577538009,0.34138574536635446,0.32806579130722,0.7762003996249975,0.4108940000043849,0.5283753909502489,0.4708758419873381,0.460959823710407,0.6754075221963569,0.75269112161426,0.7515516859948261,0.8109348564567234,0.6483340154698092,0.7593832908373884,0.1899340563942985,0.2072779191768861,0.0,0.15794800820481825,0.22814364422045696,0.2035122857012568,0.34073864451499614,0.23876184640006248,0.24251607142115028,0.23593943394376293,0.22776495089391147,0.23927951681232562,0.23961663334536487,0.24572220410484602,0.2334229756805437,1.0,0.25286365295030777,0.2287633701538211,0.2221797942322834
Ars Amatoria,0.2995688629714288,0.26494585092591527,0.1263840324482991,0.09446995230587518,0.15608954426355404,0.20538298768793428,0.23112201963035517,0.344257287189633,0.3181702153033078,0.2613748751089482,0.17303312112532843,0.7080970652428327,0.28408027001043035,0.4471107458621777,0.31850823850484544,0.3274362580915623,0.5386227206271141,0.624778419854193,0.6311491437103076,0.703860024492302,0.48815535595033543,0.6398230810819898,0.027902233016405265,0.03350347104974505,0.15794800820481847,5.551115123125783e-16,0.07076464109147684,0.0582498429087146,0.20367005224497825,0.12041197920100577,0.051257913245952524,0.04858666673442036,0.10470743569298324,0.10385717863676147,0.09730799747955665,0.10734872472454471,0.09856074761516098,1.0,0.17012663660826843,0.10757302449027328,0.14733862157322453
Remedia amoris,0.2221317317849517,0.20269873422148854,0.16820350180381516,0.19846175765119678,0.3107106225469701,0.15187756729920254,0.1902978763818841,0.3120469168870028,0.2699734593282982,0.25214069093378333,0.16900649578396754,0.674459226845203,0.2099606646275034,0.4001075183326427,0.2612251531306179,0.26741868204736874,0.47796958116735744,0.5747788657988744,0.5870190111718581,0.6622265792614029,0.4373034255261773,0.5939690910563573,0.07105372610806371,0.10135049757488312,0.22814364422045696,0.07076464109147707,0.0,0.1620354876307728,0.3275334456950669,0.2902226935401605,0.100236703181942,0.13675965509919885,0.16898842105099166,0.16686058496516443,0.15307576689237967,0.17050146702426328,0.15562650426971136,1.0,0.3272618258066813,0.1038282753469284,0.27018710630780807
Fasti,0.3644125128035607,0.3075399266945641,0.14600062825946436,0.06629749654735961,0.10126571018227792,0.2415422377834946,0.2550592685027361,0.3649835382101084,0.31000759636514164,0.26136179990539965,0.19234102628044147,0.7196755891415336,0.30828797204215463,0.4772178895750683,0.3251633355542256,0.3271810393643121,0.5852034060734561,0.683623545111301,0.6700365696315266,0.7395864848264082,0.5420353135267452,0.6762745543821642,0.06797718682982445,0.05166992537232307,0.2035122857012568,0.05824984290871471,0.1620354876307728,0.0,0.1959406144663396,0.06195873074375058,0.10103442110696637,0.07225005123471884,0.1367202317309475,0.13904581019033813,0.14020875272817013,0.14315932450269342,0.13959080577260963,1.0,0.09504189044877343,0.15307321621120906,0.0994181584752376
Ibis,0.49852105283016246,0.483762228366861,0.30483926334193445,0.2017945355622376,0.24076353806534334,0.42870125843990536,0.42257896912014525,0.3104738674056533,0.49920494928750414,0.36091638641521007,0.2676584308964488,0.7597400218087503,0.5080433167974184,0.6081724074977399,0.43012172472182875,0.4716871532062492,0.6793226558156773,0.7333148821213231,0.73585545509527,0.7783005352631336,0.5781976162110402,0.7209275722888312,0.24078927498511515,0.17486000216701492,0.34073864451499625,0.20367005224497825,0.3275334456950669,0.1959406144663396,0.0,0.1781138205166305,0.188979936659192,0.1556600048464969,0.2621135551674011,0.247860952770657,0.2554443039849511,0.25583516075033996,0.2500117685209753,1.0,0.2350890448408569,0.3125341935323661,0.2538463895343035
Metamorphoses,0.4966189328251587,0.4470173466778886,0.19836823121765212,0.06207116943314317,0.036836584252863624,0.37283456378127044,0.368516518305515,0.46930977236601534,0.43288570426097905,0.37064040981525725,0.2821822056876536,0.7809834995081725,0.44389744602946435,0.583454679041992,0.454448565866747,0.4563956630345001,0.6862118079498831,0.7592215801167268,0.745129832263978,0.8004420915945211,0.6302408577064844,0.7557332635863786,0.13932926911274413,0.09125947026683745,0.23876184640006248,0.12041197920100577,0.2902226935401606,0.0619587307437508,0.1781138205166305,2.220446049250313e-16,0.15501879190299783,0.0905722229335636,0.15013577285504853,0.15115976939849762,0.15804999732710945,0.15514599066179513,0.15872100121255284,1.0,0.039612250422773276,0.24472901725560392,0.06700032117479915
Ex Ponto,0.2769205836182156,0.26571999297311366,0.140953884503901,0.13237499207043857,0.19859759619125295,0.24063443758376246,0.25705045619562106,0.3546377842407661,0.303479823396403,0.2846236368750631,0.1638613295044109,0.6963051976677043,0.3046543638611513,0.44997767012373024,0.2866361884262866,0.30922054314364367,0.4896675184118534,0.5771623178738772,0.5995399669096578,0.6704919049378588,0.42826412352575294,0.5898037672877272,0.05658745757723005,0.03457848734414526,0.24251607142115028,0.05125791324595241,0.100236703181942,0.10103442110696625,0.18897993665919188,0.15501879190299783,0.0,0.0215788763553455,0.12134980642014448,0.11186411146021469,0.1015854961292395,0.11390856686526529,0.1052706502512557,1.0,0.23101361851024615,0.15649657256175264,0.21983860067925398
Tristia,0.33088004258182546,0.3058820871629859,0.14026099888103882,0.09648976834716416,0.13917243345409802,0.2733948727996275,0.2823449371793073,0.3619600619982887,0.33217928145615505,0.31160286158452555,0.17787697339774233,0.7173891767081618,0.34918443848205016,0.4793834357363246,0.34022037262684945,0.35953944970520835,0.5329379480069556,0.6185752369987294,0.633027551241146,0.6988650209621914,0.4717716717314242,0.6267570650439458,0.05738313912640003,0.02791810582070442,0.23593943394376293,0.04858666673442036,0.13675965509919885,0.07225005123471884,0.15566000484649678,0.0905722229335636,0.0215788763553455,0.0,0.11565109365735005,0.10736955465871523,0.10096127921402565,0.10909892815571387,0.10392680088154227,1.0,0.16786863692268916,0.17466800762253576,0.17237415906116305
