,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,"Amores, Epistulae, Medicamina faciei femineae, Ars amatoria, Remedia amoris",Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De nuptiis Philologiae et Mercurii,0.6974834150617248,0.3178752875738968,0.6562642177483674,0.4561479973053467,0.5833523289746823,0.467475055070559,0.5833163280864462,0.36283139562711,0.4066855934395932,0.6090866489998468,6.972200594645983e-13,0.6504906764463032,0.5618925339167145,0.5152690595705265,0.2587104553998978,0.31033616996460334,0.6957550667881354,0.7072883814318707,0.739705664206527,0.7486384318305664,0.6786549055809772,0.743528394792429,0.5001378937959791,0.41415569516118755,0.626752229315584,0.4011671866666203,0.4474199368043562,0.42736181080794355,0.613349249627131,0.6206195722213499,0.6163148335020856,0.6170632110123295,0.6260069882617992,1.0,0.4430376917485377,0.6739591313092013,0.4867004220015122
Commentarius in Vergilii Aeneidos libros,0.8587695880651949,0.6808380941889081,0.8499254931650219,0.7841428295384973,0.8471987884323148,0.7504824832664119,0.8094188306780505,0.718077147378277,0.6710434490136487,0.8233616034446642,0.6504906764463032,0.0,0.7770526088353766,0.7750770664030447,0.5827068860641671,0.6283197030026562,0.8424205445367283,0.8533951106479737,0.8699090914304142,0.873185498212591,0.8412239975189015,0.8674221532308056,0.7883169260451881,0.7544799038540054,0.8520898664118164,0.776865000354098,0.759288745893546,0.7614789308432708,0.8372882971900959,0.8385282804248244,0.8361693877218657,0.8379613141299788,0.8402181435588538,1.0,0.788899912179913,0.85909519799617,0.8065706801394281
Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,0.7819811421223173,0.5587461805445009,0.7563320581898043,0.6744615008379742,0.7548554612081442,0.5944113197918754,0.6969134299457846,0.6078381397206061,0.6026206052774525,0.746910001261887,0.5618925339167145,0.7770526088353766,6.994405055138486e-15,0.6839179863682818,0.5197942207180521,0.5440810268030302,0.8024271992634059,0.8212550678546598,0.8384391552208751,0.8436400267229565,0.8122555814912489,0.8416276322239798,0.6911586741523219,0.6515424965013359,0.815210920192871,0.6732861434997689,0.6718507472494978,0.677388498370191,0.7335934335731615,0.7441006321569422,0.7395769151442897,0.7395415126958839,0.7445009568332959,1.0,0.6798232676602103,0.786614357226139,0.6858540027561556
De philosophia,0.7917212868758543,0.3530307813320993,0.7828489530362819,0.6777752583597236,0.7727337130492142,0.6228123010571067,0.7053229736733448,0.6034261383214385,0.588899560695497,0.7432071854256743,0.5152690595705265,0.7750770664030447,0.6839179863682818,3.164135620181696e-13,0.5187665345125774,0.5434829543979005,0.796727775342621,0.8213422187049754,0.8379158783996119,0.844017196591233,0.7984002232288607,0.8361985583505113,0.6947412717451287,0.65588997102986,0.8175309155526009,0.6805609047302139,0.6733020743132869,0.671316468835923,0.7634441693008497,0.7709362625514244,0.765258418353179,0.7671443601802066,0.771057309899416,1.0,0.7036844687775934,0.8013551447019596,0.7096671891367635
In Vergilii Aeneide comentarii,0.6978783488836167,0.3173969017879359,0.666097842643782,0.5102531678742918,0.6442834832112154,0.4544485069855141,0.5830262074049203,0.4145522801586714,0.30933681863211304,0.5847123134690198,0.2587104553998978,0.5827068860641671,0.5197942207180521,0.5187665345125774,0.0,0.0971965723777155,0.6727966599811209,0.6915661993190838,0.7270510365427787,0.7341239577707042,0.668258241141552,0.7221345326777304,0.542938208299359,0.45575882184176164,0.6768795546837976,0.4892743413011068,0.4790256503739252,0.486212964928758,0.638770339043164,0.6438732281007022,0.6395489909399097,0.6423490296999582,0.6486534608538563,1.0,0.5012684275660023,0.6929184240138788,0.5491203391566902
In Vergilii Georgicis comentarii,0.7172525538344676,0.3509121486676072,0.6894834468724305,0.5441331072311442,0.6641281333780176,0.48323934836295734,0.6026794014712227,0.46282343845241847,0.32862111259637905,0.618886499349234,0.31033616996460334,0.6283197030026562,0.5440810268030302,0.5434829543979005,0.0971965723777155,4.001243780749064e-13,0.7043236426736585,0.7267090058739314,0.7541098092275129,0.7612264299304599,0.7029751857286617,0.7542576500743039,0.5763102461424323,0.491546563869773,0.7173634544302202,0.5235103277495219,0.5279911135133799,0.5338346125352156,0.6678199036421725,0.6752468385479523,0.6718866321481657,0.6742362758871561,0.6798811594953333,1.0,0.540486275969527,0.7062921432341223,0.5354931132642523
Adelphi,0.8707045089529025,0.7082447261309183,0.8248308186828246,0.8076489039562014,0.8448878208776737,0.7506465292343968,0.8327732569357474,0.7894734614507871,0.7258469960370545,0.8473538896291404,0.6957550667881354,0.8424205445367283,0.8024271992634059,0.796727775342621,0.6727966599811209,0.7043236426736585,2.786659791809143e-14,0.6705791592688521,0.708627585093895,0.5754225211016794,0.6273887824914235,0.628781852657015,0.7504379702419214,0.7657343820201641,0.864930892790378,0.79606599880299,0.7135064014439998,0.7246394152912938,0.825451858582646,0.8241066579879242,0.815393130329909,0.8214269650725343,0.8236658307176865,1.0,0.8270073160207364,0.8350298796361163,0.8474917569826352
Andria,0.8727479898416183,0.7429855167684972,0.8215703114041076,0.8113755912663785,0.8490666935275395,0.7616933150943845,0.8440338051348375,0.7929039224405878,0.7560662466169871,0.8594526956845026,0.7072883814318707,0.8533951106479737,0.8212550678546598,0.8213422187049754,0.6915661993190838,0.7267090058739314,0.6705791592688521,8.959499808725013e-14,0.5208240803053682,0.5368901304569775,0.5879703734982606,0.6251865130554065,0.7477665443564745,0.7781311732412778,0.8614145810706231,0.8050968260771868,0.7076631022632895,0.7193994215368366,0.8173520692000358,0.814575386664399,0.8044557512690909,0.8114559504353603,0.8147382393084867,1.0,0.8336110759243522,0.8286392067189211,0.854852391982883
Eunuchus,0.8896763540196091,0.7692313811885534,0.8419669297351252,0.8307176476870214,0.8611149443908583,0.7897562515374824,0.8578800002535221,0.8136478119636577,0.7783733263529983,0.8710827956577821,0.739705664206527,0.8699090914304142,0.8384391552208751,0.8379158783996119,0.7270510365427787,0.7541098092275129,0.708627585093895,0.5208240803053682,0.0,0.5872815679441356,0.5958364786435156,0.5974424052286221,0.7755500167158251,0.7947072810354789,0.87608237074568,0.8177375770034598,0.7479290149781841,0.7569765334248508,0.8456267143643871,0.844969691818243,0.8377719758803558,0.8422050811388133,0.8448159909520934,1.0,0.8433747762482621,0.8516721456806279,0.8609743763494881
Heautontimorumenos,0.8915416402943483,0.7770323572616362,0.8401781022677933,0.8341371022748127,0.8660717992360668,0.7896460155128944,0.8553388131378072,0.8162255074715752,0.7859570417049381,0.87564985108974,0.7486384318305664,0.873185498212591,0.8436400267229565,0.844017196591233,0.7341239577707042,0.7612264299304599,0.5754225211016794,0.5368901304569775,0.5872815679441356,8.37108160567368e-14,0.6483011339500162,0.6170832618792929,0.7755470735680747,0.8057412401871494,0.8761149945160768,0.8254867486476054,0.7452291681975438,0.7520924829546627,0.8367374883800889,0.8352629393853391,0.827890565669662,0.8330002741631637,0.8349343663700864,1.0,0.8502369784521985,0.8492377165061386,0.869685135537109
