,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De nuptiis Philologiae et Mercurii,0.6690776809971692,0.503010410108139,0.8275661046075414,0.6486950578412694,0.7897463436015492,0.7520495119669495,0.7069439501632042,0.585608941602689,0.655907545729482,0.8248438448437405,2.098321516541546e-14,0.39064566868243034,0.7384611971472621,0.5570684839526008,0.3818527275464825,0.4362347536924841,0.8078388759000763,0.8449648132306903,0.832361663799954,0.8749021632433118,0.8081360210448655,0.8449131996537649,0.7106083529239468,0.7092366848047269,0.8586912920268315,0.6835998264346874,0.7399944080311109,0.6561640866553384,0.7684873291468043,0.6205098996203817,0.6701852699807829,0.6819095123689967,0.9060034392065703,0.907532383168046,0.9005183312977894,0.9059801392925921,0.9101167975287131,1.0,0.657640782738953,0.7350267597979088,0.6511621016463587
Commentarius in Vergilii Aeneidos libros,0.6924173396700541,0.5541218841309978,0.8201672409885772,0.6487396373468526,0.7819546467079065,0.7325578209430208,0.7158195581966149,0.6595748444546223,0.43150734840798577,0.7945394032115891,0.39064566868243034,2.6201263381153694e-14,0.642328812365087,0.6177422882284074,0.02492004976171036,0.19137861226170094,0.813430757081851,0.8402098849922599,0.8416087533308351,0.8762409523882337,0.8219823230348977,0.8517000691335688,0.7227508933171101,0.7151415927249649,0.9056464108219079,0.7162735077165081,0.7572865941970345,0.6504747192843748,0.7906334864424344,0.6154058050367527,0.6941390588167745,0.7033997721981728,0.8983190335170486,0.8993658508926673,0.8937344509713937,0.8978891721890302,0.9022088320872529,1.0,0.5832764274512334,0.755580952177151,0.6695918934361682
Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,0.7739755851344935,0.7400899102038603,0.8160971138162454,0.8452564999556371,0.8526424508682133,0.7631133199913084,0.7628311993266591,0.7239426662517507,0.7219245627547883,0.9165069073855712,0.7384611971472621,0.642328812365087,2.55351295663786e-15,0.7643793651393583,0.6344927895588908,0.6905459423915393,0.8897696366639088,0.9031874148129041,0.8990322303045681,0.9215854615430064,0.8933723773827528,0.9031438987811926,0.8474321915807219,0.8267048002341493,0.969591761170759,0.8367344930876763,0.8465830922554328,0.8277795422619882,0.8833868251841293,0.8003440607812875,0.8103261713350428,0.835301077438194,0.886299956606128,0.8898709507242889,0.8821682670231215,0.8841853088457322,0.8878917590560333,1.0,0.8667484237993381,0.8861511266400222,0.8794494646734982
De philosophia,0.7481511013957237,0.1652822488401443,0.8645271946094962,0.7685199932335343,0.8843787205743933,0.7981800174125667,0.7575419585109248,0.6982569264983148,0.7006980515303625,0.9029344744896404,0.5570684839526008,0.6177422882284076,0.7643793651393583,0.0,0.6029783703834146,0.6413923349847213,0.8955186322262236,0.9205024411468767,0.9073679114517379,0.9352071433129593,0.862001825078873,0.9159618978153052,0.8408164617690144,0.8467641660931146,0.9217622324365162,0.8191671599103387,0.8525869375964622,0.7865734118223877,0.8787491128913995,0.7664536040666697,0.8085016049492796,0.8110960830744066,0.9311987035486791,0.9337465003617528,0.9276389698326573,0.9312560168841849,0.9341945511441592,1.0,0.827008615578516,0.8717926531067421,0.8124301978180102
In Vergilii Aeneide comentarii,0.6874948217110735,0.5398432752174398,0.8128652474062354,0.63604438095953,0.775991270209724,0.726558311993484,0.7009633959715691,0.6442736533074302,0.4083515911698845,0.786585157588154,0.3818527275464825,0.02492004976171025,0.6344927895588908,0.6029783703834146,2.9976021664879227e-14,0.1741888416903259,0.8040133515938145,0.8306931592774498,0.83104526494211,0.8690018739708847,0.8141807161935342,0.8401556455215273,0.7155851895193247,0.7076340828501552,0.9051527181907449,0.7108624839929758,0.7516823578403538,0.6418500314157949,0.782637414627141,0.605778502710278,0.6869870369310798,0.6951240243678511,0.8956388948460575,0.8968322658836062,0.8901758027062074,0.8951363880648805,0.8997114646153114,1.0,0.571345676625759,0.7499951211908362,0.6624023504558003
In Vergilii Georgicis comentarii,0.7263170406596129,0.5751722413805813,0.8546246900373288,0.7162783400202997,0.8120467721871336,0.7778665599942778,0.738130444815402,0.6888450068866121,0.3883409242290713,0.855882684374114,0.4362347536924842,0.19137861226170105,0.6905459423915393,0.6413923349847213,0.17418884169032578,0.0,0.8310537509225364,0.8562993114576781,0.8572168121035674,0.8898823841906456,0.8408352494847515,0.867492485893868,0.7725876464145184,0.7738844817624587,0.8996210694537846,0.7564113770741366,0.7940792344576257,0.7074477721813321,0.8233976446378102,0.6783087030132264,0.7481835334076956,0.7544530162671715,0.9226689081389073,0.9231172727094046,0.9184719044754508,0.9219099530381024,0.9262228081546935,1.0,0.7035558334157125,0.7726891763360513,0.638002443101708
Adelphi,0.8931057328995826,0.882007020090827,0.8215832541287355,0.8155875019804818,0.8265199394169931,0.7885329806559422,0.8746882115325786,0.9021650089947405,0.894543899795609,0.9277331307452935,0.8078388759000763,0.813430757081851,0.8897696366639088,0.8955186322262236,0.8040133515938145,0.8310537509225364,2.220446049250313e-15,0.607928270929774,0.6053362158492561,0.3951585221791849,0.4691818285964694,0.573925231464419,0.7379113005958633,0.6958000727469087,0.9441146345099605,0.8014591528214225,0.8099593578067333,0.7992603169419429,0.8605326557981259,0.7724726134910962,0.7126874609052087,0.7230278570266631,0.8953824165777702,0.8958238716763905,0.8887297654064887,0.8935752407541551,0.8968378474897503,1.0,0.7951252997463645,0.7586765328996173,0.8441135249172667
Andria,0.9049244411019836,0.9099122173404378,0.8309905374282106,0.8298072364154013,0.8340261320836749,0.8071388736255078,0.8910372434796429,0.9168764865679344,0.8992571094480296,0.9417670592121238,0.8449648132306903,0.8402098849922599,0.9031874148129041,0.9205024411468767,0.8306931592774498,0.8562993114576781,0.607928270929774,0.0,0.1946225280889664,0.37207176306952827,0.4483918754274103,0.4561080254328328,0.7445607689685481,0.7032522639334282,0.9418755031576893,0.8120676894495642,0.8178584435630999,0.8127010935499966,0.8650917954377432,0.783384842208408,0.7220501667015633,0.7279500533103852,0.8891142743849385,0.8905915807550283,0.8825736604963482,0.8873436685796388,0.8910933457672603,1.0,0.8027675579253023,0.7663904576372049,0.853956993964814
Eunuchus,0.9072085156794651,0.8963261481710222,0.8248416195318234,0.8301471249658758,0.8388173198977822,0.811711825518111,0.8894586765517558,0.9052776543379821,0.9107978009675672,0.9333887343197648,0.832361663799954,0.8416087533308351,0.8990322303045681,0.9073679114517379,0.83104526494211,0.8572168121035674,0.6053362158492561,0.1946225280889664,1.887379141862766e-15,0.36485795322991643,0.34782597321741315,0.278746617497154,0.7417244105350875,0.706718851735274,0.9503430138991165,0.8127793659637588,0.8211729581199201,0.8096046293295576,0.8675589392819374,0.7819734428015398,0.7291386230642007,0.7355440367769246,0.9002938390185953,0.9012709289727849,0.8940477238459462,0.8982368545851043,0.9014730089016477,1.0,0.8075559502602816,0.7703998836288523,0.8482493689872536
Heautontimorumenos,0.9207852055890838,0.9265159416426553,0.8471366770730725,0.8553730751378448,0.8629594851835147,0.8270165022274892,0.8960666592481957,0.9319075452243153,0.9250072566688469,0.9518145889371152,0.8749021632433118,0.8762409523882337,0.9215854615430064,0.9352071433129593,0.8690018739708847,0.8898823841906456,0.3951585221791849,0.37207176306952827,0.36485795322991643,0.0,0.5712885976755373,0.43698451203561495,0.7754366054957506,0.7400503322808779,0.9661674737020758,0.8509006618421712,0.8541380849526984,0.8529827259727342,0.8865255825990166,0.8197232339388085,0.7629437451342429,0.7601401736223843,0.9006434573742381,0.9020967575707,0.894778077985039,0.8989610312372363,0.9019668088659538,1.0,0.8420468532612627,0.7980151076886532,0.8870990775381528
