,Elementa philosophiae,Bucolicum carmen,Heautontimorumenos,Phormio,Elegia,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,Rota Veneris,In Vergilii Georgicis comentarii,De excidio Troiae historia,De contemptu mundi,Ars grammatica,Eunuchus,Andria,Commentarius in Vergilii Aeneidos libros,De philosophia,In Vergilii Aeneide comentarii,De nuptiis Philologiae et Mercurii,Adelphi,Alexandreis,Carmina Burana,Hecyra,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,B1,P3,To,W1,P5,Metamorphoses,Tristia,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Ibis,Fasti,Ex Ponto,Aeneid,Eclogues,Georgicon
Andria,1.1173032428125014,1.1932495604240971,0.933438668451392,0.9870419219500797,1.137030090953848,1.194526234843249,1.201909887459265,1.0895436804857044,1.2315263170662267,1.2514637833418307,1.17233137570574,0.9060445419750978,0.0,1.2333934189244735,1.1847408325048605,1.0538933728065405,1.0751161315526567,1.0264396507401492,1.1818513711748178,1.0988609226807386,0.9402903394429138,1.0991337901341816,1.1056716248931806,1.0968778340788703,1.0954524996253394,1.096668855562656,1.0995951192695574,1.1459811960709836,1.0397611509012457,1.0738275339831846,1.0210033604300204,1.3460043519087,1.093982465143847,1.1435024722662868,1.2092009444255634,1.091761833003992,1.02473752143397,1.2037506545039365,1.1803268197268413,1.2534288397814024
Commentarius in Vergilii Aeneidos libros,1.0877169353972242,1.241980873299353,1.2478885812940235,1.2379200848765186,1.2156605801362654,1.1742273863703512,1.20828518937107,1.037175316798041,1.223609149538931,1.2476309127097125,1.1362372083690153,1.2495703443312245,1.2333934189244735,0.0,1.1616026646318582,1.0005311343513033,1.06065494293442,1.2219484307323658,1.1882091932257892,1.1450699391220893,1.20632058811307,1.0650032583472786,1.2108233391035994,1.208852470022698,1.2085264054991416,1.2079848953849266,1.211338390660995,1.1658842339611675,1.1404783341188578,1.1707390696263085,1.148487391054197,1.346238108119053,1.1505999061115777,1.196397048715635,1.23347453309586,1.1261883874933416,1.137798423856264,1.2101982682609327,1.2595506608667917,1.239827886288145
De philosophia,0.7165308954284034,1.161608002360834,1.201872959509581,1.187799579598584,1.137054198610626,1.0814794453853225,1.0977192568307959,0.9123341282095792,1.1502386012988401,1.176703552806987,1.020513406473052,1.2011914863939217,1.1847408325048605,1.1616026646318582,0.0,0.8936430596652531,0.9003564918236691,1.1578301127728974,1.0797315963118523,1.0141763409026454,1.1471215284636413,0.9245535973815094,1.1322567178255305,1.1329841473089775,1.1310215050370287,1.129851750575663,1.134296187327265,1.0492914120023162,1.0276839621496745,1.0607140599519145,1.0421805660414927,1.3139711589229064,1.0330596042237754,1.1015983030142145,1.1816174947463989,1.0010383727474346,1.0277948021175214,1.1286615956832156,1.1995294591076167,1.1486056597552516
In Vergilii Aeneide comentarii,0.7035130028282122,1.0474685470250726,1.0876614811869008,1.0658007357297528,1.0083349112365512,0.9207513825454736,0.9911269864896243,0.3683931270822141,1.0061175019426525,1.0858132512519723,0.8396121846253588,1.08951739601743,1.0538933728065405,1.0005311343513033,0.8936430596652531,0.0,0.6154733435630665,1.0338102607825344,0.9255100859295595,0.837240242881771,0.9993967980902274,0.6462104050814205,0.9947006476653697,0.9929787934115818,0.9924860714301925,0.9911651923193429,0.99943242385628,0.8691330267926148,0.836789383181701,0.9094231965680057,0.8541695607529168,1.2842254303429783,0.8641889170212305,0.9780193805008873,1.0480341335972592,0.7868381391930174,0.826806650383177,0.9526927517105005,1.1010450775981193,1.032369688150583
De nuptiis Philologiae et Mercurii,0.7243493968842529,1.0012151471746669,1.1075513077386516,1.090061083277189,1.0024612060377596,0.9832608693675299,0.9853999311873043,0.6714158179790247,1.0327585938082586,1.0940422007735728,0.8049835484663704,1.1059264944110525,1.0751161315526567,1.06065494293442,0.9003564918236691,0.6154733435630665,0.0,1.0580471756324399,0.8773686331686077,0.8556948636241752,1.0207514791513193,0.7399905927877057,0.9949280030156475,0.9946442623037756,0.9917346660498223,0.992651096337118,1.0012814854462326,0.8106525692004635,0.8096070563652076,0.8968907030890293,0.8482428037580785,1.2707404780820977,0.8481159666180117,0.9815007180820957,1.0173211026294384,0.7877715267718338,0.8173624784877243,0.915845576746401,1.0968025305190117,0.9881196024163188
Adelphi,1.0818739922902387,1.1836288509672253,0.9628202836140856,1.0006573964418441,1.1282995346231701,1.1789058277141025,1.1902341624824813,1.068775547309243,1.2215470810031126,1.2443001405659249,1.1613279691676677,1.0656125009845745,1.0264396507401492,1.2219484307323658,1.1578301127728974,1.0338102607825344,1.0580471756324399,0.0,1.1730030853238118,1.082589769304164,0.9779000777929826,1.0747745528940942,1.1009073736231973,1.092718908093999,1.0912215377372636,1.0923171578633575,1.095329485047801,1.1269361769695676,1.0226199064686021,1.0588141338374228,1.0056963390638514,1.3394647794632697,1.0720405192671343,1.1278528799540442,1.199795698744504,1.063787645265639,1.0061752029792197,1.193982708347094,1.1786554855703302,1.2422386828619876
Alexandreis,0.9798443371528388,0.9488891559681997,1.2034346787917656,1.1983651688325037,1.0475819781387492,1.1119153163002327,1.0921356171026182,0.9533354959210096,1.1126786916372104,1.180245677168794,1.045156643892075,1.1995731627315211,1.1818513711748178,1.1882091932257892,1.0797315963118523,0.9255100859295595,0.8773686331686077,1.1730030853238118,0.0,0.9616843446483989,1.1510560825584195,1.0320699221602798,1.0105029296913692,1.0188706155165463,1.014417727041177,1.020052822227918,1.0267364340162521,0.7638525056809914,0.8914507191033785,0.9573524941678763,0.9176102053418776,1.2831611837474626,0.9390976743159828,1.069546383793152,1.0589260765148671,0.860618680871041,0.9225793865701276,0.7947353880682105,1.121098965121046,0.9191097745748161
Carmina Burana,0.892294604098622,1.0439648069966707,1.1311151423593482,1.1221298707848204,1.0180563156060032,1.025116847476031,1.0243114308073071,0.8658042014508525,1.1015159262120586,1.1239879844876963,0.9708529504050618,1.1268939660341564,1.0988609226807386,1.1450699391220893,1.0141763409026454,0.837240242881771,0.8556948636241752,1.082589769304164,0.9616843446483989,0.0,1.0695029074394609,0.9246255722396908,0.9898944321787063,0.9927213192787689,0.9911841354207507,0.9921232923058824,0.9953006140506266,0.9409384666444018,0.8983456111591583,0.9235935901629381,0.8928231880379042,1.2916448438769146,0.9278893955247469,1.0170151090437483,1.1090097199360098,0.8921806149944861,0.894586097343754,0.9919929405598505,1.075602085943081,1.048970168573923
Hecyra,1.0741256078067514,1.1641721566061283,1.0223070082395451,0.9563669368103086,1.1116574012899334,1.1744574453449872,1.1742221334648484,1.0375457920992226,1.2043304961754502,1.2334471314981246,1.1339230528163546,0.9645226855396728,0.9402903394429138,1.20632058811307,1.1471215284636413,0.9993967980902274,1.0207514791513193,0.9779000777929826,1.1510560825584195,1.0695029074394609,0.0,1.0429028702706635,1.0738926226052827,1.0638326828607103,1.062941166286551,1.064130827647009,1.0678540789911242,1.1019265726045848,0.9858628184355092,1.037793452916802,0.9736573753751454,1.3355869189853327,1.053666053170176,1.1120187486710318,1.1726055116797085,1.0444902629065311,0.9727618961634581,1.1778933082931589,1.166842298534404,1.2334760294236637
Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,0.7419893435967764,1.1265003316444204,1.1237090286485831,1.1013686937964822,1.0728523032672126,0.9935272143724454,1.0445311568744875,0.6741849806384776,1.0735675062607422,1.1107040200312084,0.9365798862286075,1.1233959064366486,1.0991337901341816,1.0650032583472786,0.9245535973815094,0.6462104050814205,0.7399905927877057,1.0747745528940942,1.0320699221602798,0.9246255722396908,1.0429028702706635,0.0,1.0826137801965316,1.0808098924131757,1.079040551101203,1.077021019136961,1.0837760323955041,0.9853842765342192,0.9364214806080269,0.9954198292494238,0.9544968979046712,1.297892836593564,0.9543053037969091,1.0424743009086057,1.1307736491017457,0.9019509386325786,0.9314234958041612,1.0911784840718428,1.171840223020627,1.1336900658366549
