,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De nuptiis Philologiae et Mercurii,0.7828399267527478,0.5769395233681233,0.7798273396901374,0.6800020906505782,0.7322468421383197,0.6921352119853482,0.6348467411120782,0.4992737449494553,0.5903283462792261,0.8511371940116033,0.0,0.4247082343817332,0.68835113627774,0.5793641377653241,0.4085355671111579,0.4724813160163531,0.8549013613987413,0.8795589872563766,0.8674358823808248,0.9046334736332977,0.8515961082905087,0.8722053110423318,0.7485180863502487,0.7621816437861331,0.8975996270238527,0.7331431324174064,0.7638049268011005,0.6770256497506582,0.8124384994989052,0.6557537354864285,0.7243430928914667,0.7218449130274414,0.8663740438605022,0.8660825193100281,0.861156993672087,0.8653024374967333,0.8700449735578872,1.0,0.7045267324452098,0.7817622437057039,0.6792604520771304
Commentarius in Vergilii Aeneidos libros,0.7722862578100749,0.6072449785775514,0.7803411486280335,0.6407811636620449,0.7257829744892736,0.6825486553141658,0.6573168759136977,0.6064890013649902,0.4230420864030513,0.800264021237997,0.4247082343817332,0.0,0.6219692433352157,0.6299906302983207,0.031472068468311964,0.21780564697168436,0.8380748861738109,0.8638311523902696,0.8584836192557311,0.8947895648973248,0.8372980090704167,0.8627790031418816,0.7324604858731807,0.7369106893280911,0.915630111921811,0.7241913327357542,0.7506613810832774,0.636959717951833,0.7909911725350013,0.6218736042926435,0.717327016855668,0.7145743553928275,0.8608400245855969,0.8607724671564867,0.8556578246442509,0.8598371741231019,0.8631992815043539,1.0,0.5935050128434232,0.7743860247401964,0.6561503963807918
Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,0.7839445421639814,0.7359287312916373,0.712574861987708,0.7941393766862354,0.7797317436870967,0.6933664367218821,0.6957796416730657,0.7145035355415981,0.6770043088899802,0.9230331111436108,0.68835113627774,0.6219692433352157,6.661338147750939e-16,0.7420405707388915,0.6088241881538147,0.6662671317031915,0.8185965046252891,0.8382349431605128,0.8294401970001806,0.864365898835026,0.8123833269756611,0.8375616339717795,0.7352164303557795,0.6938920449270465,0.9465043036246206,0.7400868443761024,0.739471618925938,0.7793547838789048,0.7732253719966419,0.7720748490139315,0.6882994827026533,0.7266374060994856,0.8067098839762683,0.8096951979075859,0.7982039867012463,0.803226216969045,0.8064782737762985,1.0,0.8163643812419006,0.8035080137336456,0.8360805311366453
De philosophia,0.8002351596426261,0.1143334957373171,0.8458992894367436,0.7639976572514012,0.8379526732645673,0.755711830708202,0.703161689384405,0.7074929666211438,0.607533004468938,0.9227965853389604,0.5793641377653241,0.6299906302983207,0.7420405707388915,0.0,0.6161594510621771,0.6343723807164121,0.9103416689103581,0.932707875556132,0.9204286830798747,0.9452455765284109,0.8876316790954994,0.9248307980287838,0.8490273264313593,0.8587914911371698,0.9361534047559515,0.8351497962112265,0.8552574255028407,0.7739061341718548,0.8856450350893973,0.7555074583623259,0.8248967739672335,0.821367318345179,0.9124395308843262,0.9145811802650295,0.9089138716291018,0.9128479155674019,0.914850267186676,1.0,0.8246715241484353,0.8836445980866652,0.7756759984606386
In Vergilii Aeneide comentarii,0.7645266225855333,0.5961580845996286,0.7507523265987002,0.5969321747181002,0.6899878123197418,0.6558579133300859,0.6319612256030045,0.5917785829854758,0.416329123466476,0.7837393579509194,0.4085355671111579,0.0314720684683123,0.6088241881538147,0.6161594510621771,0.0,0.1975317212248041,0.8229291914297113,0.8475584951505294,0.841238789617913,0.8829693969144997,0.8217536093460929,0.8457181128958875,0.6960752220314244,0.6979338295474469,0.9069942553565765,0.6890484102377241,0.7201706908355372,0.5902633113511364,0.7582888057631354,0.5711251466687257,0.6802732387676778,0.6767395248312402,0.8434198369095756,0.843150345046014,0.8368538333230543,0.8422471649079424,0.8460210371220878,1.0,0.5317456061397632,0.7475105401158181,0.6156704516359239
In Vergilii Georgicis comentarii,0.8023447642005328,0.6070772946756722,0.7917790281212698,0.6958977467385609,0.7126045515437469,0.7034888111768178,0.6771466980660887,0.6552139722511665,0.41560807126194876,0.875869314477701,0.472481316016353,0.21780564697168436,0.6662671317031915,0.6343723807164121,0.1975317212248041,0.0,0.8548740784792028,0.8762957964869287,0.8674202191448765,0.9065634126346247,0.8521490538627672,0.8736766790602308,0.7471908890358079,0.7649978666150855,0.8968253562672842,0.7322954827888055,0.7637440387918414,0.6381449405809974,0.8046266766706225,0.6343625878904398,0.7394867500876302,0.7347370276725982,0.879043440067119,0.8787205767934646,0.873489327681573,0.8778156319226653,0.8816832310449887,1.0,0.6763082029202486,0.7458394150776129,0.569684635536648
Adelphi,0.9190956874885757,0.9122177783572304,0.7467876172524188,0.8372783643503964,0.7654705435239539,0.7529792115615869,0.8675498934432776,0.90755170592799,0.9119374912716224,0.9384065572250537,0.8549013613987413,0.8380748861738109,0.8185965046252891,0.9103416689103581,0.8229291914297113,0.8548740784792028,1.6653345369377348e-15,0.6511228622407055,0.6434299794263121,0.4232035764545823,0.5202432283741757,0.6168405464856147,0.7087817213778635,0.6635175669047286,0.9355450172321573,0.735612912043792,0.7414212517880826,0.77501821117878,0.7964683073977321,0.7796965123087853,0.6836773567640101,0.7152888649504902,0.8053539149923556,0.8035414711265944,0.7980492515916894,0.801669162903088,0.8049685561832405,1.0,0.8035187221926021,0.7533663595410727,0.829788996047184
Andria,0.9406652777575448,0.9341698655393849,0.7804930087336315,0.858807755512849,0.7916133893181918,0.794912563735279,0.8899056963272903,0.9193222242410517,0.922063884160331,0.9454725792877386,0.8795589872563767,0.8638311523902696,0.8382349431605128,0.932707875556132,0.8475584951505294,0.8762957964869287,0.6511228622407055,1.887379141862766e-15,0.21450656143228441,0.40891337496781344,0.47416972174964067,0.483663000595719,0.7462881183996468,0.7084855178084131,0.9325382474300588,0.7672174518508424,0.7696348273527922,0.8052811573417722,0.8252811050286633,0.8062685199511257,0.7318317369888199,0.7606247320506434,0.8268143837880417,0.8261459964505966,0.8201827177794465,0.82303657477746,0.8261579193534137,1.0,0.8206051312905907,0.7814426275872348,0.8469877774861563
Eunuchus,0.9329361196839197,0.9208574888149629,0.76637777748296,0.8500685820412195,0.7876643196492854,0.7829468101645268,0.8787058569550998,0.9090206948279476,0.9133048633144628,0.9449818076260508,0.8674358823808248,0.858483619255731,0.8294401970001806,0.9204286830798747,0.841238789617913,0.8674202191448765,0.6434299794263121,0.21450656143228453,0.0,0.38848857961073446,0.3620482234073753,0.2905368659318216,0.7329111968011333,0.6936282668609878,0.9401421919048273,0.7647788762396068,0.766407577096889,0.8004091135661238,0.8218037119870534,0.7987990158280027,0.7225363104859055,0.7491080910672205,0.8272044805404886,0.8262329745316829,0.8210465451455995,0.8233695271503231,0.8264515585604093,1.0,0.8198459020616413,0.7737479619889452,0.8401637500247281
Heautontimorumenos,0.9514746611322589,0.9463292820825666,0.8051480548108289,0.8830197722226567,0.8296573066332058,0.8301110406613335,0.9066886768276123,0.9343966042388354,0.9418720574831315,0.9627157570726242,0.9046334736332977,0.8947895648973248,0.864365898835026,0.9452455765284109,0.8829693969144997,0.9065634126346247,0.4232035764545823,0.40891337496781355,0.38848857961073446,9.992007221626409e-16,0.6323286019061962,0.46533861748670735,0.772202922610812,0.7413240248467661,0.9565270696871188,0.8034062669988268,0.8021153553289021,0.8430507524180693,0.8449070785866256,0.8428154618508106,0.7674659052140554,0.7905601451450491,0.8493107233797004,0.8485884829868274,0.8434179698023356,0.8465244051716194,0.8491237358170017,1.0,0.8602670989547381,0.8216869677040968,0.8803597775285685
