,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De nuptiis Philologiae et Mercurii,0.1788785918393263,0.11123194399054426,0.19678480887843364,0.20362160721567435,0.3082683795000304,0.1601592148634483,0.1535344482815656,0.15868909679605914,0.12502239096313328,0.1716913606087327,2.220446049250313e-16,0.557749799644178,0.2062225901477338,0.1122164835103785,0.12926728620983963,0.13977544644054118,0.24856850233205685,0.39986691766736926,0.3428451272467735,0.4472657554778906,0.1920336283104026,0.31477648735131114,0.16970544873406357,0.17574741171247354,0.26812060142836425,0.15818475174710545,0.1734337456572146,0.1590422227319157,0.2339748751755094,0.25070162087951486,0.16447755889760696,0.1712983782982963,0.24102007852052887,0.23561049208855356,0.23077559709273832,0.23472921386574364,0.23016667064231677,1.0,0.3548491172414745,0.22393439418559724,0.3246291523603354
Commentarius in Vergilii Aeneidos libros,0.5875652179000157,0.5653164358422799,0.6247978868876853,0.6696754676531351,0.7330694375271316,0.5958489416052899,0.6041684764363356,0.6140516706415897,0.5393145878216182,0.6173068856286712,0.557749799644178,0.0,0.5802194644325551,0.5717426014416677,0.5368475123348763,0.5505024977334243,0.6201940724622439,0.7004489827770731,0.6741591311016681,0.7199976647667501,0.5934738862094822,0.6493766858409229,0.622091370989369,0.6188941898835636,0.6809617696162867,0.6127685487015485,0.6019718814169965,0.6151552548101707,0.6665057238845123,0.696613973974858,0.6120369577343747,0.6252957683347418,0.655164960107804,0.6487399930041224,0.6445586131235285,0.6489406582629731,0.6451766905914285,1.0,0.755848503833678,0.6561453639902248,0.7457334592428835
Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,0.19280430279411298,0.18507924974921086,0.2744101041892557,0.3337614757386248,0.4478830433278971,0.17949991485215133,0.16854006570875446,0.2922368912180162,0.17609371458003054,0.26520259682670766,0.20622259014773392,0.5802194644325551,0.0,0.188202528961964,0.16999745047488313,0.170800058437375,0.3417113985894924,0.481286204397782,0.4310368547015636,0.5197994875875256,0.3354303555037682,0.4103969655660231,0.29915816579120624,0.3134164712834274,0.41120096415078233,0.3000813489374139,0.27310952092308305,0.2987702030995697,0.44083258443122963,0.4216234907306602,0.31764411503362566,0.3453979933326071,0.29061951705621647,0.299612898928282,0.29654384333499806,0.2955811854000413,0.2895159163603094,1.0,0.476690468532587,0.298009390208298,0.43622867912640306
De philosophia,0.172998242183947,0.015738434982688343,0.2380084184920196,0.28876511721325093,0.4285529339206613,0.15146742364347066,0.1418538753601365,0.2310989197028852,0.09239030531587933,0.2147226952456157,0.11221648351037872,0.5717426014416677,0.188202528961964,0.0,0.15814226825849165,0.15688128424954584,0.24623999711538624,0.4283262967342846,0.3634304111558341,0.4657329842470702,0.22250705459599862,0.327993754900055,0.21658997550898196,0.23452172888729372,0.3044853687440441,0.2073612904839739,0.18723669708024393,0.22018652915995396,0.3794298952693682,0.3642595014372054,0.22627274394905728,0.24475724439316282,0.308799226137193,0.30406524045495587,0.29237832206657366,0.2994622780433268,0.2927701497363362,1.0,0.4881150804415063,0.2931615503715741,0.4461743673616546
In Vergilii Aeneide comentarii,0.1873938383337077,0.1474032810290964,0.25119184790613824,0.31084610603157947,0.4342185436493432,0.18823270716054163,0.20689907647264127,0.2535592663710954,0.10676837004655049,0.1912407350499301,0.12926728620984007,0.5368475123348762,0.16999745047488313,0.15814226825849165,1.1102230246251565e-16,0.015940308717951157,0.2677390711245279,0.41638256269765184,0.36597782855374406,0.45728507400732266,0.21602033119961994,0.32072855279028045,0.2529385860102338,0.24822270461115514,0.36828831664952,0.23765176937396226,0.22645243003109805,0.22730244889568474,0.3336624623640577,0.36962988720207823,0.23397717951094477,0.26342081305438225,0.30704032701742,0.29918578418939457,0.29318972274739463,0.29998435319122296,0.293308485617903,1.0,0.4625342409878982,0.3050870056348255,0.44677130362406325
In Vergilii Georgicis comentarii,0.1991655153250239,0.14663041590888315,0.2574602167663651,0.31018835108322307,0.42377094545996286,0.18188264487366135,0.19380673247339364,0.2672657714701139,0.11298311500268277,0.19702283323914427,0.13977544644054118,0.5505024977334243,0.170800058437375,0.15688128424954584,0.01594030871795138,0.0,0.29309228702220125,0.44446290894506346,0.38915860001354974,0.4788200510908933,0.24672172195896203,0.3523023761258841,0.26348932512894363,0.26688364796112096,0.36174475925656935,0.2502695809673393,0.2381325149810648,0.23428025858458612,0.36547401238186394,0.3690334675449284,0.25682177461873457,0.28340832456593557,0.3184811564268111,0.315137600698997,0.3104102940590133,0.3161139148077289,0.30988090215978426,1.0,0.45582071502161037,0.2973126550441666,0.41858113203109737
Adelphi,0.2868044908751116,0.22723983442420792,0.21685571807577475,0.43723575861454833,0.48499324905037267,0.27064679011274595,0.33692864482026896,0.4231426912061692,0.22281042125364692,0.32208082614393585,0.24856850233205696,0.6201940724622439,0.3417113985894924,0.24623999711538624,0.2677390711245279,0.29309228702220125,0.0,0.26958106617109867,0.22262574683513214,0.3380608056821004,0.08274758345316191,0.12085953890729495,0.21702517715460123,0.20948756740115548,0.39363536273982347,0.21971624094120767,0.19475041174350738,0.27583051613183684,0.39534274142411474,0.44841654146320187,0.1914290118913219,0.22952399112437372,0.3190549079705648,0.300465316637315,0.27576938800622397,0.2973232687178087,0.2866927835988303,1.0,0.6135613317269774,0.34808993890094964,0.602861874919298
Andria,0.4263703377721453,0.41201322987244404,0.3774646404799531,0.5538240745384424,0.5995555930153429,0.423947689147243,0.4849821056750315,0.5299876169861085,0.413745065708648,0.4749005044300024,0.39986691766736915,0.700448982777073,0.48128620439778214,0.4283262967342846,0.41638256269765184,0.44446290894506335,0.2695810661710988,0.0,0.1098570804983725,0.12385496588679656,0.252302794369201,0.11769052186581197,0.3857093103258741,0.3816082663111713,0.5378412202382229,0.3858363189181365,0.3636367951650209,0.4424420594826056,0.523520293559218,0.5768299697846537,0.362593744839232,0.39606968288865896,0.46244606489631845,0.4446379670459659,0.4238250676014307,0.44277702123426366,0.43529983016544016,1.0,0.7008984654751165,0.47160570577204464,0.6935936280822887
Eunuchus,0.3791714692199104,0.350001327865753,0.3176526441563877,0.5025493595391235,0.5467960133113909,0.37185510995623416,0.41980518015609025,0.4820504708910901,0.34269275137425315,0.4198671342632586,0.3428451272467734,0.674159131101668,0.4310368547015636,0.3634304111558341,0.36597782855374417,0.38915860001354974,0.22262574683513214,0.1098570804983725,0.0,0.03587181463732658,0.21121705378420674,0.060382044470182916,0.3182094167642413,0.3185477980430065,0.4767115395283107,0.3190949731727091,0.29824875879292145,0.36882134401363365,0.47367012118506224,0.5125653828575925,0.30667480384909773,0.3369755065509884,0.4086503080194649,0.3942925692371798,0.3756839628048886,0.39236680501531507,0.3835334623256925,1.0,0.6536010305621874,0.42866746587531834,0.6408587293742177
Heautontimorumenos,0.4768388891992572,0.45275255880273113,0.42430043825207153,0.5912909098666077,0.6299604328954975,0.4752426721766836,0.5195407194567189,0.5605863578307919,0.44151119385989135,0.517027842986074,0.4472657554778905,0.7199976647667501,0.5197994875875256,0.4657329842470702,0.45728507400732266,0.4788200510908933,0.3380608056821004,0.12385496588679656,0.03587181463732658,0.0,0.32063719486455966,0.10362098233408856,0.42804671461409827,0.42131628945724886,0.5792500055777019,0.42796176881071046,0.40395576064951655,0.473096281970358,0.5429258013757436,0.600251607291393,0.4071722191590236,0.43524383514059894,0.5013835788771748,0.48614138645111926,0.46927803050506933,0.48461807074482943,0.4770849093256073,1.0,0.7225178542370276,0.5272562462982937,0.7143375070297364
