,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,"Amores, Epistulae, Medicamina faciei femineae, Ars amatoria, Remedia amoris",Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
In Vergilii Aeneide comentarii,0.7067444737662611,0.5539632459321622,0.8155117262719851,0.6361459990112459,0.7774590336440239,0.73278234664978,0.7297464235143202,0.6616772900863327,0.4278633251116454,0.8075348049866959,0.3919235534466873,0.026006239214199756,0.6606660917301891,0.7136145119761985,0.0,0.18041339295440384,0.8028668859875522,0.8302779163248397,0.832582538137667,0.8679162851552603,0.8147973083087972,0.8408749258897262,0.7123447868658253,0.638955993012114,0.7862224092011694,0.6030762362291294,0.6832629096632072,0.6906385070019396,0.8964338767748575,0.8979286974295106,0.8925649322842208,0.8965696987694265,0.8999658437586485,1.0,0.572328238201674,0.7564510028373677,0.6701954362049198
In Vergilii Georgicis comentarii,0.7440923521626579,0.5901849352635196,0.8576426423399655,0.7185754691023722,0.8145126906187242,0.7840746200198052,0.7653263497721517,0.7091927694205165,0.4128234307605889,0.8712960051941371,0.4496401114133719,0.1980649935719997,0.7153708532555602,0.7425389368090629,0.18041339295440384,5.551115123125783e-15,0.8309528619206977,0.8564051433611163,0.8591558525530658,0.8894420607693603,0.8420591792208312,0.8684858235133059,0.7708490989293443,0.7070581441645811,0.8262739548448184,0.6787575524269426,0.7469849209075629,0.7527095000827124,0.9241154668335765,0.9248455570535093,0.921138936051373,0.9239687452025442,0.9272053574668628,1.0,0.707044425236397,0.7794278056321776,0.6387340627788849
Adelphi,0.8963307622106509,0.882351519515244,0.823078256370165,0.8142849809729193,0.8271547326501101,0.79170976075839,0.884397048226362,0.90544916187945,0.8946852348501465,0.9342288922458081,0.8076509535787775,0.8132497033367743,0.8954753579343397,0.9227625863831448,0.8028668859875522,0.8309528619206977,0.0,0.6094917269349927,0.6067272129793765,0.3976501019725206,0.47680731882630045,0.5745029223052296,0.7375531328633643,0.7967996502254451,0.8619785126423379,0.7716077469022621,0.711797965989139,0.722709958193094,0.897347792986324,0.8984719148648337,0.8922827980711732,0.8965116580939062,0.8982845637652932,1.0,0.7957522945782997,0.7656107836541286,0.8459007160020645
Andria,0.9079951831482725,0.9102824959128953,0.8334132573208339,0.8296803680650158,0.8356283066148735,0.810217503248507,0.899651398339855,0.9198857277040918,0.8998289760123656,0.9473074781626317,0.8454013298435191,0.8404167497861686,0.9085989514443047,0.9413000861930023,0.8302779163248397,0.8564051433611163,0.6094917269349927,0.0,0.22274604818086874,0.3786684378466727,0.46288416607081706,0.46092112507590255,0.7462886555769401,0.8115795518329889,0.8669802113399832,0.7839731622242677,0.7229628642443864,0.7297158498363165,0.8926569607728668,0.8946841792212147,0.8876526978128665,0.8918204841029096,0.8940974029099469,1.0,0.8047555403844043,0.7745562922896975,0.8568247022376796
Eunuchus,0.9114810979348752,0.8987932996295416,0.8286380689096835,0.8324409566715393,0.8422960857703552,0.8169291671900345,0.8994878313443988,0.9106939328418795,0.9123697805974245,0.9404356181368393,0.8350982612470235,0.8438313009779246,0.9055315617020785,0.932849933757129,0.832582538137667,0.8591558525530658,0.6067272129793765,0.22274604818086874,3.1086244689504383e-15,0.38028121635363576,0.3535259867360906,0.28621888153514086,0.7465318850245853,0.8111811023803653,0.870957607953587,0.7855257932056114,0.7336353727477751,0.7406440785274973,0.9042789742173117,0.9058357610922092,0.8996788973295712,0.9032385543581709,0.9049989471479922,1.0,0.8112353234067309,0.7809505883745878,0.8524651931149225
Heautontimorumenos,0.9231982526427649,0.9260499933655721,0.8486680876761158,0.8545369810196721,0.8636626303143543,0.829360584005313,0.9038815329461466,0.9339003377701687,0.9249886818222829,0.9559996621938902,0.8743181151494727,0.8757424312425509,0.9255491924565215,0.9517314683206806,0.8679162851552603,0.8894420607693603,0.3976501019725206,0.3786684378466727,0.38028121635363576,6.772360450213455e-15,0.5778104586625727,0.44262976914690244,0.7762561409117159,0.8512382630329496,0.8878826574079237,0.8193128877845534,0.7628901721886872,0.7609522615404909,0.9029714030580896,0.9049558667171826,0.8986429486666712,0.9022213532481663,0.9039595293751577,1.0,0.8428974853983741,0.8046732452251204,0.8883610537264625
Hecyra,0.9000394378180846,0.8872244500880799,0.8196777180497576,0.8110698862156623,0.8275184125411363,0.7861535973518166,0.8770739630222716,0.9079318041637467,0.9104425290672413,0.9299802241395376,0.8095797812506348,0.8235490530019712,0.9002793511547913,0.8985057050570071,0.8147973083087972,0.8420591792208312,0.47680731882630045,0.46288416607081706,0.3535259867360906,0.5778104586625727,0.0,0.38228279789525466,0.7275567104870352,0.8013641571726107,0.854683290166539,0.7632847295986285,0.7029883539818513,0.7008815326381583,0.8812533178451942,0.8831281343297213,0.8767530890586613,0.8805151487768291,0.8842280189871621,1.0,0.7889775456177924,0.7575290904474141,0.8476921256905875
Phormio,0.9130772593978504,0.9097999408347699,0.8507295774304922,0.8387302540544266,0.8570944624784731,0.8306663436000485,0.9104547153973647,0.9185073997178279,0.916529802763648,0.9449468902535249,0.8469941635847634,0.8529902952778128,0.9085633476509055,0.9387180851982351,0.8408749258897262,0.8684858235133059,0.5745029223052296,0.46092112507590255,0.28621888153514086,0.44262976914690244,0.38228279789525466,5.88418203051333e-15,0.7687654276303932,0.8225600536763279,0.8818612765704291,0.7981433742460663,0.7416033493211995,0.7471206903576744,0.9133127743078424,0.914277068867503,0.9088508330469622,0.9124835108733523,0.9139533988686073,1.0,0.8266626085779554,0.7947201189537807,0.8693762190010792
"Amores, Epistulae, Medicamina faciei femineae, Ars amatoria, Remedia amoris",0.8554133233880803,0.8188936539223716,0.607833331263737,0.5798237641944324,0.6149509621378566,0.6446019791421433,0.8352738248331822,0.8669399569682424,0.90701681884881,0.9091086552871455,0.7068246308866781,0.7205819200247225,0.8550252376564123,0.8793886215314766,0.7123447868658253,0.7708490989293443,0.7375531328633643,0.7462886555769401,0.7465318850245853,0.7762561409117159,0.7275567104870352,0.7687654276303932,2.1094237467877974e-15,0.3701578164919018,0.5824079967270481,0.35907610633834885,0.3069754250883001,0.3023355912664678,0.746355026341156,0.751427057533257,0.7358979121285838,0.7459907680795136,0.7496924403422098,1.0,0.5488785294441166,0.5287662656215193,0.6279564494460156
Fasti,0.8387345512305846,0.7639079271598493,0.6859628876487569,0.5117062592883288,0.6139942504211392,0.6902013205855223,0.8665907350384,0.8424495202434594,0.8650750514309674,0.8685749474363782,0.6541515202497404,0.6492288348217543,0.8367093709978924,0.8403795004705867,0.638955993012114,0.7070581441645811,0.7967996502254451,0.8115795518329889,0.8111811023803653,0.8512382630329496,0.8013641571726107,0.8225600536763279,0.3701578164919018,0.0,0.5750941915406437,0.25819962102209904,0.3759165480411658,0.3642836194800084,0.8135654126516593,0.8170987059007881,0.807160099672046,0.8127733691120739,0.8174526748902204,1.0,0.4595249331066663,0.6074348526230893,0.5738941370422144
