,Elementa philosophiae,Bucolicum carmen,Heautontimorumenos,Phormio,Elegia,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,Rota Veneris,In Vergilii Georgicis comentarii,De excidio Troiae historia,De contemptu mundi,Ars grammatica,Eunuchus,Andria,Commentarius in Vergilii Aeneidos libros,De philosophia,In Vergilii Aeneide comentarii,De nuptiis Philologiae et Mercurii,Adelphi,Alexandreis,Carmina Burana,Hecyra,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,B1,P3,To,W1,P5,Metamorphoses,Tristia,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Ibis,Fasti,Ex Ponto,Aeneid,Eclogues,Georgicon
Ars grammatica,0.4133960498846678,0.6718980921567073,0.7097663939279776,0.701568496297783,0.6486982972056516,0.5523612118942121,0.5618353512317465,0.38775888647338097,0.6144770496770134,0.6925613235615586,0.0,0.7105895167173593,0.6871804272319567,0.6455174968412484,0.5207238063954112,0.35247431028595555,0.3239992566507319,0.6743413259854584,0.5461762051360551,0.47127772565529524,0.6428907448541121,0.43859094164386436,0.6272742391355226,0.6288376556431455,0.6283735795630341,0.6268491568425071,0.6297883957269603,0.5400677487237803,0.5219761022194452,0.5609641275681321,0.5391495971446291,0.8630561512367313,0.5361608325482201,0.6048444018251928,0.6199422660953849,0.49674838650120134,0.5254119997963607,0.5929373039140362,0.6860069703595116,0.6224810942705641
Eunuchus,0.6505254075697502,0.7304348867264706,0.48156911825450455,0.4703729739786423,0.6724931882847982,0.734505915688235,0.7385438329263939,0.6243450583160683,0.7767224821568659,0.8008223892578747,0.7105895167173593,0.0,0.41045835602140124,0.780713022716253,0.7214304934923849,0.5935240781128006,0.6115367055201593,0.5677650011272625,0.7194878863731418,0.6349450053423922,0.4651520054603133,0.6310091812991652,0.6446510888632979,0.6369437015990138,0.6355162725116645,0.636886711697745,0.6394114055941351,0.6737868032940013,0.5755884448404411,0.6042687787740892,0.5552268068249423,0.9101401821487628,0.6245744013091794,0.6761212730453862,0.748125358015709,0.6194207299911385,0.5620566734749082,0.739816204004447,0.7219339749246192,0.7937843968619697
Andria,0.6241832681996585,0.7119222567261334,0.435653873880096,0.487125877843398,0.6464187138672004,0.7134464628643264,0.7222936887861264,0.5935527158430527,0.7583285348132718,0.7830808005080774,0.6871804272319567,0.41045835602140124,0.0,0.7606296629232904,0.7018054201018988,0.5553456206232195,0.5779373481623515,0.5267891783057235,0.6983863317741521,0.6037476636976419,0.44207296122480044,0.6040475443072033,0.611254871046951,0.6015704914467597,0.6000080894676847,0.6013412893805201,0.6045547131607072,0.6566364508743194,0.5405516254617125,0.5765527863701394,0.5212239310046995,0.9058638576785335,0.5983988170210243,0.653798952039542,0.7310834619998144,0.5959719500021345,0.525043493917246,0.724507819109166,0.6965857006831959,0.7855419281977482
Commentarius in Vergilii Aeneidos libros,0.5915640657751737,0.7712582448209745,0.778612955662187,0.7662230682705365,0.7389153230488241,0.6894049774512592,0.7299765494269619,0.5378663188876516,0.7486096754178867,0.7782914471746728,0.6455174968412484,0.780713022716253,0.7606296629232904,0.0,0.6746603752399166,0.5005312754037377,0.5624944539857917,0.7465789836848389,0.7059205434336545,0.6555925827410539,0.7276046806529408,0.5671159701452146,0.7330465792592481,0.7306621471402346,0.7302680363945826,0.7296137537392922,0.7336703483448416,0.6796430235000419,0.6503454152974644,0.6853149845749106,0.6595116437054821,0.906178521876268,0.6619400719721389,0.7156829490879879,0.7607297118982789,0.6341501420626745,0.6472926266650465,0.7322899242509833,0.7932339336452257,0.76858659380902
De philosophia,0.2567082620516479,0.6746665755741788,0.7222493053998851,0.7054339206470313,0.6464461252888074,0.584798895395271,0.6024937834083897,0.41617678074778186,0.6615244199587206,0.6923156255940786,0.5207238063954112,0.7214304934923849,0.7018054201018988,0.6746603752399166,0.0,0.39929895904415924,0.405320906184395,0.6702852850216117,0.5829101600371374,0.5142768252234318,0.6579439005321654,0.4273996772153249,0.6410026375303486,0.6418265390265475,0.6396048224279347,0.638282489139251,0.6433139202924147,0.5505062336509197,0.5280671630296663,0.5625571584896337,0.5430701661171502,0.8632601032403435,0.5336060729392871,0.606759410601735,0.6981099519451819,0.5010389118563044,0.5281810776296939,0.636938498784789,0.719435461633281,0.6596474808106266
In Vergilii Aeneide comentarii,0.24746527257440876,0.5485951785039,0.5915037488293062,0.5679656041414991,0.5083696466096335,0.42389155423004965,0.4911663516744227,0.0678567480407567,0.5061362138580741,0.5894952082976952,0.35247431028595555,0.5935240781128006,0.5553456206232195,0.5005312754037377,0.39929895904415924,0.0,0.1894037183185172,0.5343818276500597,0.4282844595792187,0.35048561215083796,0.4993969800169198,0.2087939438178814,0.49471468923339734,0.4930034420829996,0.4925143009919072,0.4912042192331453,0.4994325849280712,0.37769610913129736,0.3501082359031097,0.41352527522831817,0.36480281925875346,0.8246174779705191,0.3734112421514568,0.4782609543180978,0.5491877725929666,0.30955712864465723,0.34180461855919153,0.45381173958117693,0.6061501314520437,0.532893586506469
De nuptiis Philologiae et Mercurii,0.26234102438330775,0.5012158854660207,0.6133349496367644,0.5941165826376968,0.5024642348053329,0.4834009686146855,0.4855065121919778,0.22539960031619588,0.5332951565423896,0.5984641685367504,0.3239992566507319,0.6115367055201593,0.5779373481623515,0.5624944539857917,0.405320906184395,0.1894037183185172,0.0,0.5597319129318745,0.3848878592342446,0.3661068498165825,0.5209667910948018,0.2737930387070969,0.4949408655923795,0.4946586042669343,0.49176882392249865,0.4926780995296508,0.5012823065487371,0.3285787939757705,0.32773179285817533,0.4022064666437518,0.3597579270637131,0.8073906813181784,0.3596503464161811,0.48167182979786194,0.517471112927611,0.3102919891962447,0.33404071061977714,0.4193865602229122,0.6014878954764611,0.48819017433964884
Adelphi,0.5852256675970084,0.7004886284209864,0.46351144926929744,0.500657612526833,0.6365299199153807,0.6949094753090772,0.7083286807701483,0.5711405852629807,0.7460886355535408,0.7741414199061509,0.6743413259854584,0.5677650011272625,0.5267891783057235,0.7465789836848389,0.6702852850216117,0.5343818276500597,0.5597319129318745,0.0,0.6879681190898476,0.586000304301278,0.4781442810737283,0.5775701697741998,0.6059985226489566,0.5970173060530595,0.5953822222108273,0.5965783866813146,0.5998733404075367,0.6349925734815713,0.5228757365529033,0.5605436850068889,0.505712563203224,0.8970829477112554,0.5746354374752022,0.6360260594103091,0.7197548593628904,0.5658220771099267,0.5061942695450725,0.7127973539157774,0.6946143768324784,0.7715784725992245
Alexandreis,0.4800474625254668,0.45019531515722677,0.7241275130595713,0.7180395389357404,0.5487140004607614,0.6181778353117615,0.5963801030723062,0.45442428389160905,0.6190269354119784,0.6964899292381037,0.5461762051360551,0.7194878863731418,0.6983863317741521,0.7059205434336545,0.5829101600371374,0.4282844595792187,0.3848878592342446,0.6879681190898476,0.0,0.46241838937132806,0.6624650525976334,0.5325841621140754,0.5105580854576537,0.5190486655817664,0.5145216624679256,0.5202538800677917,0.5270938524684494,0.2917353252177821,0.39734219229513357,0.4582618990448958,0.42100424447398577,0.8232513117384468,0.4409522209529949,0.5719647335427682,0.5606622177618357,0.37033225693229144,0.4255763622622003,0.3158021685240454,0.6284314447980022,0.42238138885961973
Carmina Burana,0.3980948302519707,0.5449312591240838,0.6397107326375686,0.629587723454051,0.5182193308728711,0.5254322754898345,0.5246069536415102,0.3748084576251063,0.60666866784967,0.6316744946366637,0.47127772565529524,0.6349450053423922,0.6037476636976419,0.6555925827410539,0.5142768252234318,0.35048561215083796,0.3661068498165825,0.586000304301278,0.46241838937132806,0.0,0.5719182345109961,0.42746622441990456,0.4899454934294598,0.49274780887554326,0.49122299515514467,0.4921543135681735,0.49531165616503847,0.44268259900591944,0.40351241854465913,0.42651255989521697,0.39856662254930386,0.8341732013573215,0.43048936516381464,0.5171598660119062,0.6149512794565892,0.3979931248861981,0.40014214278052673,0.4920249970604482,0.5784599236428325,0.5501692072792133
