Date Range,Walk Length,Context Window Size,Return Parameter,In-Out Parameter,used_stop_docs,File Name
"(1, 1325)",50,20,0.5,1.5,n,model-1-1325-20230813-20.n2v
"(1, 1325)",100,5,0.5,1.5,n,model-1-1325-20230813-21.n2v
"(1, 1325)",100,10,0.5,1.5,n,model-1-1325-20230813-22.n2v
"(1, 1325)",100,20,0.5,1.5,n,model-1-1325-20230813-23.n2v
"(1, 1325)",150,5,0.5,1.5,n,model-1-1325-20230813-24.n2v
"(1, 1325)",150,10,0.5,1.5,n,model-1-1325-20230813-25.n2v
"(1, 1325)",150,20,0.5,1.5,n,model-1-1325-20230813-26.n2v
"(1, 1325)",50,5,1,0.5,n,model-1-1325-20230813-27.n2v
"(1, 1325)",50,10,1,0.5,n,model-1-1325-20230813-28.n2v
"(1, 1325)",50,20,1,0.5,n,model-1-1325-20230813-29.n2v
"(1, 1325)",100,5,1,0.5,n,model-1-1325-20230813-30.n2v
"(1, 1325)",100,10,1,0.5,n,model-1-1325-20230813-31.n2v
"(1, 1325)",100,20,1,0.5,n,model-1-1325-20230813-32.n2v
"(1, 1325)",150,5,1,0.5,n,model-1-1325-20230813-33.n2v
"(1, 1325)",150,10,1,0.5,n,model-1-1325-20230813-34.n2v
"(1, 1325)",150,20,1,0.5,n,model-1-1325-20230813-35.n2v
"(1, 1325)",50,5,1,1,n,model-1-1325-20230813-36.n2v
"(1, 1325)",50,10,1,1,n,model-1-1325-20230813-37.n2v
"(1, 1325)",50,20,1,1,n,model-1-1325-20230813-38.n2v
"(1, 1325)",100,5,1,1,n,model-1-1325-20230813-39.n2v
"(1, 1325)",100,10,1,1,n,model-1-1325-20230813-40.n2v
"(1, 1325)",100,20,1,1,n,model-1-1325-20230813-41.n2v
"(1, 1325)",150,5,1,1,n,model-1-1325-20230813-42.n2v
"(1, 1325)",150,10,1,1,n,model-1-1325-20230813-43.n2v
"(1, 1325)",150,20,1,1,n,model-1-1325-20230813-44.n2v
"(1, 1325)",50,5,1,1.5,n,model-1-1325-20230813-45.n2v
"(1, 1325)",50,10,1,1.5,n,model-1-1325-20230813-46.n2v
"(1, 1325)",50,20,1,1.5,n,model-1-1325-20230813-47.n2v
"(1, 1325)",100,5,1,1.5,n,model-1-1325-20230813-48.n2v
"(1, 1325)",100,10,1,1.5,n,model-1-1325-20230813-49.n2v
"(1, 1325)",100,20,1,1.5,n,model-1-1325-20230813-50.n2v
"(1, 1325)",150,5,1,1.5,n,model-1-1325-20230813-51.n2v
"(1, 1325)",150,10,1,1.5,n,model-1-1325-20230813-52.n2v
"(1, 1325)",150,20,1,1.5,n,model-1-1325-20230813-53.n2v
"(1, 1325)",50,5,1.5,0.5,n,model-1-1325-20230813-54.n2v
"(1, 1325)",50,10,1.5,0.5,n,model-1-1325-20230813-55.n2v
"(1, 1325)",50,20,1.5,0.5,n,model-1-1325-20230813-56.n2v
"(1, 1325)",100,5,1.5,0.5,n,model-1-1325-20230813-57.n2v
"(1, 1325)",100,10,1.5,0.5,n,model-1-1325-20230814-58.n2v
"(1, 1325)",100,20,1.5,0.5,n,model-1-1325-20230814-59.n2v
"(1, 1325)",150,5,1.5,0.5,n,model-1-1325-20230814-60.n2v
"(1, 1325)",150,10,1.5,0.5,n,model-1-1325-20230814-61.n2v
"(1, 1325)",150,20,1.5,0.5,n,model-1-1325-20230814-62.n2v
"(1, 1325)",50,5,1.5,1,n,model-1-1325-20230814-63.n2v
"(1, 1325)",50,10,1.5,1,n,model-1-1325-20230814-64.n2v
"(1, 1325)",50,20,1.5,1,n,model-1-1325-20230814-65.n2v
"(1, 1325)",100,5,1.5,1,n,model-1-1325-20230814-66.n2v
"(1, 1325)",100,10,1.5,1,n,model-1-1325-20230814-67.n2v
"(1, 1325)",100,20,1.5,1,n,model-1-1325-20230814-68.n2v
"(1, 1325)",150,5,1.5,1,n,model-1-1325-20230814-69.n2v
"(1, 1325)",150,10,1.5,1,n,model-1-1325-20230814-70.n2v
"(1, 1325)",150,20,1.5,1,n,model-1-1325-20230814-71.n2v
"(1, 1325)",50,5,1.5,1.5,n,model-1-1325-20230814-72.n2v
"(1, 1325)",50,10,1.5,1.5,n,model-1-1325-20230814-73.n2v
"(1, 1325)",50,20,1.5,1.5,n,model-1-1325-20230814-74.n2v
"(1, 1325)",100,5,1.5,1.5,n,model-1-1325-20230814-75.n2v
"(1, 1325)",100,10,1.5,1.5,n,model-1-1325-20230814-76.n2v
"(1, 1325)",100,20,1.5,1.5,n,model-1-1325-20230814-77.n2v
"(1, 1325)",150,5,1.5,1.5,n,model-1-1325-20230814-78.n2v
"(1, 1325)",150,10,1.5,1.5,n,model-1-1325-20230814-79.n2v
"(1, 1325)",150,20,1.5,1.5,n,model-1-1325-20230814-80.n2v
