Model Filename,Plot Filename,K
model-1200-1325-20230812-63.n2v,kmeans-model-1200-1325-20230812-63.png,6
model-1-1325-20230829-52.n2v,kmeans-model-1-1325-20230829-52.png,10
model-1-1325-20230829-46.n2v,kmeans-model-1-1325-20230829-46.png,6
model-1-1536-20230829-13.n2v,kmeans-model-1-1536-20230829-13.png,8
model-1-1325-20230812-13.n2v,kmeans-model-1-1325-20230812-13.png,12
model-1200-1325-20230809-0.n2v,kmeans-model-1200-1325-20230809-0.png,5
model-1200-1325-20230828-76.n2v,kmeans-model-1200-1325-20230828-76.png,6
model-1200-1325-20230828-62.n2v,kmeans-model-1200-1325-20230828-62.png,5
model-1-1325-20230828-9.n2v,kmeans-model-1-1325-20230828-9.png,5
model-1-1325-20230828-8.n2v,kmeans-model-1-1325-20230828-8.png,6
model-1200-1325-20230828-63.n2v,kmeans-model-1200-1325-20230828-63.png,7
model-1200-1325-20230828-77.n2v,kmeans-model-1200-1325-20230828-77.png,5
model-1200-1325-20230809-1.n2v,kmeans-model-1200-1325-20230809-1.png,6
model-1-1325-20230812-12.n2v,kmeans-model-1-1325-20230812-12.png,6
model-1-1536-20230829-12.n2v,kmeans-model-1-1536-20230829-12.png,18
model-1-1325-20230829-47.n2v,kmeans-model-1-1325-20230829-47.png,6
model-1-1325-20230829-53.n2v,kmeans-model-1-1325-20230829-53.png,5
model-1200-1325-20230812-76.n2v,kmeans-model-1200-1325-20230812-76.png,6
model-1-1325-20230813-46.n2v,kmeans-model-1-1325-20230813-46.png,7
model-1-1325-20230813-52.n2v,kmeans-model-1-1325-20230813-52.png,9
model-1-1325-20230814-73.n2v,kmeans-model-1-1325-20230814-73.png,5
model-1-1325-20230814-67.n2v,kmeans-model-1-1325-20230814-67.png,5
model-1-1536-20230829-3.n2v,kmeans-model-1-1536-20230829-3.png,17
model-1-1536-20230829-1.n2v,kmeans-model-1-1536-20230829-1.png,16
model-1-1325-20230814-71.n2v,kmeans-model-1-1325-20230814-71.png,5
model-1-1325-20230814-65.n2v,kmeans-model-1-1325-20230814-65.png,6
model-1-1325-20230813-44.n2v,kmeans-model-1-1325-20230813-44.png,7
model-1-1325-20230814-59.n2v,kmeans-model-1-1325-20230814-59.png,5
model-1-1325-20230813-50.n2v,kmeans-model-1-1325-20230813-50.png,5
model-1200-1325-20230812-74.n2v,kmeans-model-1200-1325-20230812-74.png,8
model-1-1325-20230829-45.n2v,kmeans-model-1-1325-20230829-45.png,7
model-1-1536-20230829-38.n2v,kmeans-model-1-1536-20230829-38.png,5
model-1-1325-20230829-51.n2v,kmeans-model-1-1325-20230829-51.png,6
model-1-1536-20230829-10.n2v,kmeans-model-1-1536-20230829-10.png,10
model-1-1325-20230829-79.n2v,kmeans-model-1-1325-20230829-79.png,5
model-1-1325-20230812-10.n2v,kmeans-model-1-1325-20230812-10.png,8
model-1200-1325-20230809-3.n2v,kmeans-model-1200-1325-20230809-3.png,7
model-1200-1325-20230828-61.n2v,kmeans-model-1200-1325-20230828-61.png,5
model-1200-1325-20230828-75.n2v,kmeans-model-1200-1325-20230828-75.png,5
